mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	11	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	11	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
12	11	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
14	13	1/2	1/2	3/4	2	1		VM7	a	i	i	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
15	14	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
16	15	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	15	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
16	15	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	3/4	2	1		i]}	a	i	i	i	i						}	m	1	1	0, -3, 1		0	0
17	16	7/16	7/16	3/4	2	1		III[III{	a	i	III	III	III						{	M	1	1	-3, 1, -2		-3	-3
18	17	1/2	1/2	3/4	2	1		V+M7/III	a	i	III	V+M7/III	V	+M	7		III			+M7	1	1	-2, 2, 6, 3		-2	-2
19	18	0	0	3/4	2	1		III	a	i	III	III	III							M	1	1	-3, 1, -2		-3	-3
19	18	1/2	1/2	3/4	2	1		V+M7/III	a	i	III	V+M7/III	V	+M	7		III			+M7	1	1	-2, 2, 6, 3		-2	-2
20	19	0	0	3/4	2	1		III	a	i	III	III	III							M	1	1	-3, 1, -2		-3	-3
20	19	1/2	1/2	3/4	2	1		V7/III	a	i	III	V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
21	20	0	0	3/4	2	1		III]}	a	i	III	III	III						}	M	1	1	-3, 1, -2		-3	-3
21	20	1/2	1/2	3/4	2	1		V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
22	21	0	0	3/4	2	1		i[i{	a	i	i	i	i						{	m	1	1	0, -3, 1		0	0
22	21	1/2	1/2	3/4	2	1		VM7	a	i	i	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
23	22	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
24	23	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	23	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
24	23	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	24	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
26	25	1/2	1/2	3/4	2	1		VM7	a	i	i	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
27	26	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
28	27	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
28	27	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
28	27	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	28	0	0	3/4	2	1	1	i]}	a	i	i	i	i						}	m	1	1	0, -3, 1		0	0
29	28	7/16	7/16	3/4	2	1	1	III[III{	a	i	III	III	III						{	M	1	1	-3, 1, -2		-3	-3
30	28	0	0	3/4	2	1	2	i]}	a	i	III	i	i						}	m	1	1	0, -3, 1		0	0
30	28	7/16	7/16	3/4	2	1	2	{	a	i									{		1	1				
31	29	0	0	3/4	2	1		I.I	a	I		I	I							M	1	0	0, 4, 1		0	0
33	31	1/4	1/4	3/4	2	1		I(64)	a	I		I(64)	I			64				M	1	0	0, -1, 3		0	0
33	31	5/8	5/8	3/4	2	1		I	a	I		I	I							M	1	0	0, 4, 1		0	0
34	32	1/4	1/4	3/4	2	1		I(64)	a	I		I(64)	I			64				M	1	0	0, -1, 3		0	0
34	32	5/8	5/8	3/4	2	1		I	a	I		I	I							M	1	0	0, 4, 1		0	0
37	35	0	0	3/4	2	1		V(64)/iii	a	I		V(64)/iii	V			64	iii			M	1	0	5, 4, 1		5	5
37	35	3/16	3/16	3/4	2	1		V/iii	a	I		V/iii	V				iii			M	1	0	5, 9, 6		5	5
37	35	1/4	1/4	3/4	2	1		V7/iii	a	I		V7/iii	V		7		iii			Mm7	1	0	5, 9, 6, 3		5	5
37	35	1/2	1/2	3/4	2	1		i(94)/iii	a	I		i(94)/iii	i			94	iii			m	1	0	4, 3, 5	6	4	4
37	35	5/8	5/8	3/4	2	1		i/iii	a	I		i/iii	i				iii			m	1	0	4, 1, 5		4	4
38	36	0	0	3/4	2	1		V(64)/iii	a	I		V(64)/iii	V			64	iii			M	1	0	5, 4, 1		5	5
38	36	3/16	3/16	3/4	2	1		V/iii	a	I		V/iii	V				iii			M	1	0	5, 9, 6		5	5
38	36	1/4	1/4	3/4	2	1		V7/iii	a	I		V7/iii	V		7		iii			Mm7	1	0	5, 9, 6, 3		5	5
38	36	1/2	1/2	3/4	2	1		i/iii}	a	I		i/iii	i				iii		}	m	1	0	4, 1, 5		4	4
39	37	0	0	3/4	2	1		ii{	a	I		ii	ii						{	m	1	0	2, -1, 3		2	2
39	37	1/4	1/4	3/4	2	1		V7	a	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
40	38	0	0	3/4	2	1		I[I	a	I	I	I	I							M	1	0	0, 4, 1		0	0
41	39	0	0	3/4	2	1		V2/V	a	I	I	V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
41	39	1/4	1/4	3/4	2	1		viio7	a	I	I	viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
41	39	1/2	1/2	3/4	2	1		V65	a	I	I	V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
42	40	0	0	3/4	2	1		I	a	I	I	I	I							M	1	0	0, 4, 1		0	0
43	41	0	0	3/4	2	1		IV64	a	I	I	IV64	IV		64					M	1	0	0, -1, 3		-1	0
43	41	1/4	1/4	3/4	2	1		ii%2	a	I	I	ii%2	ii	%	2					%7	1	0	0, 2, -1, -4		2	0
43	41	1/2	1/2	3/4	2	1		V7	a	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
44	42	0	0	3/4	2	1		I	a	I	I	I	I							M	1	0	0, 4, 1		0	0
45	43	0	0	3/4	2	1		V2/V	a	I	I	V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
45	43	1/4	1/4	3/4	2	1		viio7	a	I	I	viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
45	43	1/2	1/2	3/4	2	1		V65	a	I	I	V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
46	44	0	0	3/4	2	1		I}	a	I	I	I	I						}	M	1	0	0, 4, 1		0	0
47	45	0	0	3/4	2	1		i.i{	a	i	I	i	i						{	m	1	1	0, -3, 1		0	0
47	45	1/2	1/2	3/4	2	1		VM7	a	i	I	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
48	46	0	0	3/4	2	1		i	a	i	I	i	i							m	1	1	0, -3, 1		0	0
49	47	0	0	3/4	2	1		V7	a	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
49	47	1/4	1/4	3/4	2	1		V7(#9)	a	i	I	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
49	47	1/2	1/2	3/4	2	1		V7	a	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
50	48	0	0	3/4	2	1		i	a	i	I	i	i							m	1	1	0, -3, 1		0	0
51	49	1/2	1/2	3/4	2	1		VM7	a	i	I	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
52	50	0	0	3/4	2	1		i	a	i	I	i	i							m	1	1	0, -3, 1		0	0
53	51	0	0	3/4	2	1		V7	a	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
53	51	1/4	1/4	3/4	2	1		V7(#9)	a	i	I	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
53	51	1/2	1/2	3/4	2	1		V7	a	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
54	52	0	0	3/4	2	1		i]}	a	i	I	i	i						}	m	1	1	0, -3, 1		0	0
54	52	7/16	7/16	3/4	2	1		III[III{	a	i	III	III	III						{	M	1	1	-3, 1, -2		-3	-3
55	53	1/2	1/2	3/4	2	1		V+M7/III	a	i	III	V+M7/III	V	+M	7		III			+M7	1	1	-2, 2, 6, 3		-2	-2
56	54	0	0	3/4	2	1		III	a	i	III	III	III							M	1	1	-3, 1, -2		-3	-3
56	54	1/2	1/2	3/4	2	1		V+M7/III	a	i	III	V+M7/III	V	+M	7		III			+M7	1	1	-2, 2, 6, 3		-2	-2
57	55	0	0	3/4	2	1		III	a	i	III	III	III							M	1	1	-3, 1, -2		-3	-3
57	55	1/2	1/2	3/4	2	1		V7/III	a	i	III	V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
58	56	0	0	3/4	2	1		III]}	a	i	III	III	III						}	M	1	1	-3, 1, -2		-3	-3
58	56	1/2	1/2	3/4	2	1		V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
59	57	0	0	3/4	2	1		i[i{	a	i	i	i	i						{	m	1	1	0, -3, 1		0	0
59	57	1/2	1/2	3/4	2	1		VM7	a	i	i	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
60	58	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
61	59	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
61	59	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
61	59	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
62	60	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
63	61	1/2	1/2	3/4	2	1		VM7	a	i	i	VM7	V	M	7					MM7	1	1	1, 5, 2, 6		1	1
64	62	0	0	3/4	2	1		i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
65	63	0	0	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
65	63	1/4	1/4	3/4	2	1		V7(#9)	a	i	i	V7(#9)	V		7	#9				Mm7	1	1	1, 5, 2, -1	3	1	1
65	63	1/2	1/2	3/4	2	1		V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
66	64	0	0	3/4	2	1		i]}	a	i	i	i	i						}	m	1	1	0, -3, 1		0	0
