mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	18	0	0	3/4	2	1	V7(4)	g	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
19	18	1/4	1/4	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	18	1/2	1/2	3/4	2	1	V7(9)	g	III		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
20	19	0	0	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	20	0	0	3/4	2	1	I(4)	g	III		I(4)		I			4				M	1	0	0, -1, 1		0	0
21	20	1/4	1/4	3/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
22	21	0	0	3/4	2	1	V[V	g	III	V	V		V							M	1	0	1, 5, 2		1	1
22	21	1/4	1/4	3/4	2	1	V7(4)	g	III	V	V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
22	21	1/2	1/2	3/4	2	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	22	0	0	3/4	2	1	V7(4)	g	III	V	V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
23	22	1/4	1/4	3/4	2	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	22	1/2	1/2	3/4	2	1	V7(9)	g	III	V	V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
24	23	0	0	3/4	2	1	iii6	g	III	V	iii6		iii		6					m	1	0	1, 5, 4		4	1
24	23	1/4	1/4	3/4	2	1	VM7(b6)	g	III	V	VM7(b6)		V	M	7	b6				MM7	1	0	1, 5, -3, 6		1	1
24	23	1/2	1/2	3/4	2	1	V7]	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	24	0	0	3/4	2	1	I(9)	g	III		I(9)		I			9				M	1	0	0, 4, 1	2	0	0
25	24	1/4	1/4	3/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
26	25	0	0	3/4	2	1	V	g	III		V		V							M	1	0	1, 5, 2		1	1
26	25	1/4	1/4	3/4	2	1	V7(4)	g	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
26	25	1/2	1/2	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
27	26	0	0	3/4	2	1	V7(4)	g	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
27	26	1/4	1/4	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
27	26	1/2	1/2	3/4	2	1	V7(9)	g	III		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
28	27	0	0	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
29	28	0	0	3/4	2	1	I(4)	g	III		I(4)		I			4				M	1	0	0, -1, 1		0	0
29	28	1/4	1/4	3/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
30	29	0	0	3/4	2	1	V[V	g	III	V	V		V							M	1	0	1, 5, 2		1	1
30	29	1/4	1/4	3/4	2	1	V7(4)	g	III	V	V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
30	29	1/2	1/2	3/4	2	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
31	30	0	0	3/4	2	1	V7(4)	g	III	V	V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
31	30	1/4	1/4	3/4	2	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
31	30	1/2	1/2	3/4	2	1	V7(9)	g	III	V	V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
32	31	0	0	3/4	2	1	iii6	g	III	V	iii6		iii		6					m	1	0	1, 5, 4		4	1
32	31	1/4	1/4	3/4	2	1	VM7(b6)	g	III	V	VM7(b6)		V	M	7	b6				MM7	1	0	1, 5, -3, 6		1	1
32	31	1/2	1/2	3/4	2	1	V7]	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
34	32	0	0	3/4	2	1	I(9)	g	III		I(9)		I			9				M	1	0	0, 4, 1	2	0	0
34	32	1/4	1/4	3/4	2	1	I\\	g	III		I		I						\\	M	1	0	0, 4, 1		0	0
35	33	0	0	3/4	2	1	VI.V7(9)	g	VI		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
36	34	0	0	3/4	2	1	I(64)	g	VI		I(64)		I			64				M	1	0	0, -1, 3		0	0
36	34	1/8	1/8	3/4	2	1	I	g	VI		I		I							M	1	0	0, 4, 1		0	0
37	35	0	0	3/4	2	1	V7(9)	g	VI		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
38	36	0	0	3/4	2	1	I[I(64)	g	VI	I	I(64)		I			64				M	1	0	0, -1, 3		0	0
38	36	1/8	1/8	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
38	36	1/2	1/2	3/4	2	1	I+	g	VI	I	I+		I	+						+	1	0	0, 4, 8		0	0
39	37	0	0	3/4	2	1	ii2	g	VI	I	ii2		ii		2					mm7	1	0	0, 2, -1, 3		2	0
39	37	1/4	1/4	3/4	2	1	IV64	g	VI	I	IV64		IV		64					M	1	0	0, -1, 3		-1	0
39	37	1/2	1/2	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
40	38	0	0	3/4	2	1	ii2	g	VI	I	ii2		ii		2					mm7	1	0	0, 2, -1, 3		2	0
40	38	1/4	1/4	3/4	2	1	IV64	g	VI	I	IV64		IV		64					M	1	0	0, -1, 3		-1	0
40	38	1/2	1/2	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
41	39	0	0	3/4	2	1	V7(9)	g	VI	I	V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
42	40	0	0	3/4	2	1	I(64)	g	VI	I	I(64)		I			64				M	1	0	0, -1, 3		0	0
42	40	3/16	3/16	3/4	2	1	I]\\	g	VI	I	I		I						\\	M	1	0	0, 4, 1		0	0
43	41	0	0	3/4	2	1	V7(9)	g	VI		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
44	42	0	0	3/4	2	1	I(64)	g	VI		I(64)		I			64				M	1	0	0, -1, 3		0	0
44	42	1/8	1/8	3/4	2	1	I	g	VI		I		I							M	1	0	0, 4, 1		0	0
45	43	0	0	3/4	2	1	V7(9)	g	VI		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
46	44	0	0	3/4	2	1	I[I(64)	g	VI	I	I(64)		I			64				M	1	0	0, -1, 3		0	0
46	44	1/8	1/8	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
46	44	1/2	1/2	3/4	2	1	I+	g	VI	I	I+		I	+						+	1	0	0, 4, 8		0	0
47	45	0	0	3/4	2	1	ii%2	g	VI	I	ii%2		ii	%	2					%7	1	0	0, 2, -1, -4		2	0
47	45	1/4	1/4	3/4	2	1	IV64	g	VI	I	IV64		IV		64					M	1	0	0, -1, 3		-1	0
47	45	1/2	1/2	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
48	46	0	0	3/4	2	1	ii%2	g	VI	I	ii%2		ii	%	2					%7	1	0	0, 2, -1, -4		2	0
48	46	1/4	1/4	3/4	2	1	IV64	g	VI	I	IV64		IV		64					M	1	0	0, -1, 3		-1	0
48	46	1/2	1/2	3/4	2	1	I	g	VI	I	I		I							M	1	0	0, 4, 1		0	0
49	47	0	0	3/4	2	1	V7(9)	g	VI	I	V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
50	48	0	0	3/4	2	1	V7(6)/IV	g	VI	I	V7(6)/IV		V		7	6	IV			Mm7	1	0	0, 4, 3, -2		0	0
50	48	1/8	1/8	3/4	2	1	V7/IV	g	VI	I	V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
50	48	1/2	1/2	3/4	2	1	i.Fr6]	g	i	VI	Fr6	Fr	V		7	b5	V			Fr	1	1	2, 6, -4, 0		2	2
51	49	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
52	50	0	0	3/4	2	1	i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
53	51	0	0	3/4	2	1	iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
53	51	1/2	1/2	3/4	2	1	#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
54	52	0	0	3/4	2	1	i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
55	53	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
56	54	0	0	3/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
57	55	0	0	3/4	2	1	ii%2/V	g	i		ii%2/V		ii	%	2		V			%7	1	1	1, 3, 0, -3		3	1
57	55	1/2	1/2	3/4	2	1	VM7	g	i		VM7		V	M	7					MM7	1	1	1, 5, 2, 6		1	1
58	56	0	0	3/4	2	1	V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
59	57	1/2	1/2	3/4	2	1	V7(6)	g	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
59	57	5/8	5/8	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
60	58	0	0	3/4	2	1	i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
61	59	0	0	3/4	2	1	iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
61	59	1/2	1/2	3/4	2	1	#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
62	60	0	0	3/4	2	1	i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
63	61	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
64	62	0	0	3/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
65	63	0	0	3/4	2	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
65	63	1/4	1/4	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
65	63	1/2	1/2	3/4	2	1	V7(6)	g	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
65	63	5/8	5/8	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
66	64	0	0	3/4	2	1	i\\	g	i		i		i						\\	m	1	1	0, -3, 1		0	0
